asia_10000_17 | 0.07 | 0.05 | 0.12
asia_10000_18 | 0.081 | 0.043 | 0.124
asia_10000_19 | 0.085 | 0.054 | 0.139
asia_10000_20 | 0.052 | 0.030 | 0.082
child_100_1 | 0.144 | 0.225 | 0.369
child_100_2 | 0.155 | 0.188 | 0.343
child_100_3 | 0.095 | 0.138 | 0.233
child_100_4 | 0.115 | 0.175 | 0.29
child_100_5 | 0.236 | 0.299 | 0.535
child_100_6 | 0.158 | 0.214 | 0.372
child_100_7 | 0.125 | 0.187 | 0.312
child_100_8 | 0.155 | 0.175 | 0.33
child_100_9 | 0.135 | 0.204 | 0.339
child_100_10 | 0.116 | 0.197 | 0.313
child_100_11 | 0.144 | 0.241 | 0.385
child_100_12 | 0.170 | 0.212 | 0.382
child_100_13 | 0.128 | 0.157 | 0.285
child_100_14 | 0.163 | 0.192 | 0.355
child_100_15 | 0.132 | 0.186 | 0.318
child_100_16 | 0.127 | 0.236 | 0.363
child_100_17 | 0.145 | 0.216 | 0.361
child_100_18 | 0.122 | 0.247 | 0.369
child_100_19 | 0.129 | 0.205 | 0.334
child_100_20 | 0.127 | 0.155 | 0.282
child_1000_1 | 0.403 | 0.188 | 0.591
child_1000_2 | 0.361 | 0.187 | 0.548
child_1000_3 | 0.518 | 0.269 | 0.787
child_1000_4 | 0.457 | 0.22 | 0.677
child_1000_5 | 0.495 | 0.238 | 0.733
child_1000_6 | 0.288 | 0.186 | 0.474
child_1000_7 | 0.382 | 0.212 | 0.594
child_1000_8 | 0.519 | 0.221 | 0.74
child_1000_9 | 0.458 | 0.224 | 0.682
child_1000_10 | 0.447 | 0.172 | 0.619
child_1000_11 | 0.589 | 0.227 | 0.816
child_1000_12 | 0.633 | 0.208 | 0.841
child_1000_13 | 0.329 | 0.154 | 0.483
child_1000_14 | 0.380 | 0.194 | 0.574
child_1000_15 | 0.483 | 0.223 | 0.706
child_1000_16 | 0.431 | 0.162 | 0.593
child_1000_17 | 0.464 | 0.207 | 0.671
child_1000_18 | 0.576 | 0.215 | 0.791
child_1000_19 | 0.556 | 0.228 | 0.784
child_1000_20 | 0.516 | 0.234 | 0.75
child_10000_1 | 12.667 | 0.397 | 13.064
child_10000_2 | 8.108 | 0.387 | 8.495
child_10000_3 | 8.008 | 0.430 | 8.438
child_10000_4 | 8.466 | 0.413 | 8.879
child_10000_5 | 9.015 | 0.335 | 9.35
child_10000_6 | 10.928 | 0.372 | 11.3
child_10000_7 | 11.084 | 0.407 | 11.491
child_10000_8 | 9.229 | 0.371 | 9.6
child_10000_9 | 9.633 | 0.418 | 10.051
child_10000_10 | 9.201 | 0.400 | 9.601
child_10000_11 | 15.968 | 0.478 | 16.446
child_10000_12 | 9.703 | 0.467 | 10.17
child_10000_13 | 7.867 | 0.386 | 8.253
child_10000_14 | 8.208 | 0.386 | 8.594
child_10000_15 | 10.111 | 0.346 | 10.457
child_10000_16 | 10.088 | 0.346 | 10.434
child_10000_17 | 10.589 | 0.491 | 11.08
child_10000_18 | 9.731 | 0.451 | 10.182
child_10000_19 | 12.316 | 0.378 | 12.694
child_10000_20 | 12.769 | 0.447 | 13.216
insurance_100_1 | 0.476 | 0.748 | 1.224
insurance_100_2 | 0.387 | 0.763 | 1.15
insurance_100_3 | 0.675 | 1.218 | 1.893
insurance_100_4 | 0.520 | 0.861 | 1.381
insurance_100_5 | 0.657 | 1.001 | 1.658
insurance_100_6 | 0.457 | 0.867 | 1.324
insurance_100_7 | 0.481 | 0.897 | 1.378
insurance_100_8 | 0.531 | 0.973 | 1.504
insurance_100_9 | 0.591 | 1.017 | 1.608
insurance_100_10 | 0.414 | 0.871 | 1.285
insurance_100_11 | 0.428 | 0.956 | 1.384
insurance_100_12 | 0.430 | 0.704 | 1.134
insurance_100_13 | 0.390 | 0.658 | 1.048
insurance_100_14 | 0.380 | 0.703 | 1.083
insurance_100_15 | 0.482 | 0.841 | 1.323
insurance_100_16 | 0.462 | 0.806 | 1.268
insurance_100_17 | 0.408 | 0.823 | 1.231
insurance_100_18 | 0.375 | 0.890 | 1.265
insurance_100_19 | 0.619 | 1.211 | 1.83
insurance_100_20 | 0.451 | 0.893 | 1.344
insurance_1000_1 | 0.436 | 0.445 | 0.881
insurance_1000_2 | 0.636 | 0.575 | 1.211
insurance_1000_3 | 1.069 | 0.542 | 1.611
insurance_1000_4 | 0.617 | 0.520 | 1.137
insurance_1000_5 | 0.840 | 0.519 | 1.359
insurance_1000_6 | 0.728 | 0.579 | 1.307
insurance_1000_7 | 1.503 | 0.489 | 1.992
insurance_1000_8 | 1.142 | 0.638 | 1.78
insurance_1000_9 | 0.996 | 0.506 | 1.502
insurance_1000_10 | 0.693 | 0.540 | 1.233
insurance_1000_11 | 0.798 | 0.632 | 1.43
insurance_1000_12 | 1.277 | 0.671 | 1.948
insurance_1000_13 | 0.774 | 0.544 | 1.318
insurance_1000_14 | 0.825 | 0.583 | 1.408
insurance_1000_15 | 1.291 | 0.542 | 1.833
insurance_1000_16 | 0.910 | 0.624 | 1.534
insurance_1000_17 | 0.864 | 0.448 | 1.312
insurance_1000_18 | 1.209 | 0.811 | 2.02
insurance_1000_19 | 1.361 | 0.760 | 2.121
insurance_1000_20 | 0.667 | 0.471 | 1.138
insurance_10000_1 | 13.426 | 1.251 | 14.677
insurance_10000_2 | 14.980 | 1.245 | 16.225
insurance_10000_3 | 11.055 | 1.233 | 12.288
insurance_10000_4 | 16.022 | 1.371 | 17.393
insurance_10000_5 | 19.895 | 1.361 | 21.256
insurance_10000_6 | 15.250 | 1.035 | 16.285
insurance_10000_7 | 11.208 | 1.255 | 12.463
insurance_10000_8 | 8.696 | 1.034 | 9.73
insurance_10000_9 | 11.096 | 1.378 | 12.474
insurance_10000_10 | 12.869 | 1.189 | 14.058
insurance_10000_11 | 13.019 | 1.368 | 14.387
insurance_10000_12 | 8.058 | 1.476 | 9.534
insurance_10000_13 | 9.578 | 1.102 | 10.68
