asia_1000_15 | 0.804 | 0.639 | 0.074 | 0.01
asia_1000_16 | 0.798 | 0.636 | 0.073 | 0.01
asia_1000_17 | 0.802 | 0.639 | 0.082 | 0.01
asia_1000_18 | 0.811 | 0.637 | 0.084 | 0.01
asia_1000_19 | 0.769 | 0.625 | 0.077 | 0.01
asia_1000_20 | 0.792 | 0.645 | 0.082 | 0.01
asia_10000_1 | 0.912 | 0.737 | 0.081 | 0.01
asia_10000_2 | 0.888 | 0.720 | 0.079 | 0.01
asia_10000_3 | 0.941 | 0.762 | 0.080 | 0.01
asia_10000_4 | 0.917 | 0.745 | 0.072 | 0.01
asia_10000_5 | 0.886 | 0.725 | 0.070 | 0.01
asia_10000_6 | 0.921 | 0.761 | 0.072 | 0.01
asia_10000_7 | 0.957 | 0.781 | 0.079 | 0.02
asia_10000_8 | 0.934 | 0.769 | 0.069 | 0.01
asia_10000_9 | 0.911 | 0.744 | 0.076 | 0.01
asia_10000_10 | 0.912 | 0.737 | 0.076 | 0.0
asia_10000_11 | 0.931 | 0.766 | 0.073 | 0.02
asia_10000_12 | 0.901 | 0.739 | 0.082 | 0.01
asia_10000_13 | 0.931 | 0.765 | 0.071 | 0.01
asia_10000_14 | 0.879 | 0.723 | 0.068 | 0.01
asia_10000_15 | 0.933 | 0.761 | 0.085 | 0.01
asia_10000_16 | 0.923 | 0.767 | 0.076 | 0.01
asia_10000_17 | 0.875 | 0.727 | 0.079 | 0.01
asia_10000_18 | 0.924 | 0.757 | 0.078 | 0.01
asia_10000_19 | 0.918 | 0.750 | 0.078 | 0.01
asia_10000_20 | 0.890 | 0.724 | 0.072 | 0.01
child_100_1 | 3.542 | 3.377 | 0.079 | 0.22
child_100_2 | 2.155 | 1.981 | 0.084 | 0.13
child_100_3 | 1.924 | 1.768 | 0.075 | 0.1
child_100_4 | 1.647 | 1.466 | 0.087 | 0.17
child_100_5 | 21.952 | 21.757 | 0.092 | 0.4
child_100_6 | 12.959 | 12.770 | 0.093 | 0.16
child_100_7 | 5.353 | 5.139 | 0.100 | 0.13
child_100_8 | 2.449 | 2.247 | 0.082 | 0.07
child_100_9 | 2.572 | 2.385 | 0.080 | 0.11
child_100_10 | 1.704 | 1.513 | 0.083 | 0.11
